証券コード,会社名,基準日,本文
1450,ＴＡＮＡＫＥＮ株式会社,2026-03-31,"３ 【配当政策】

当社は、継続的な成長と株主の皆様への利益還元を経営の最重要目標として位置づけており、継続的な成長のための財務体質の強化と株主の皆様への継続的かつ安定的な利益還元とのバランスを勘案しつつ、株主の皆様への利益還元を充実していくことを基本方針としております。

当社は2018年８月27日開催の臨時株主総会で、機動的な資本政策の遂行を可能とするため、会社法第459条第１項の定めに関する事項に関して、取締役会決議で定めることができる旨を定款に定めております。また、配当は年１回の期末配当を基準としておりますが、配当の基準日に関しては、期末配当は３月31日、中間配当は９月30日とする旨を定款に定め、利益水準に応じた配当の弾力的な運用が行えるようにいたしました。

内部留保資金につきましては、事業拡大を目的とした中長期的な事業原資として利用していく予定であります。

以上の方針に基づき、第45期事業年度の剰余金の配当につきましては、業績及び今後の経営環境等を総合的に勘案し、１株当たり55円の期末配当とさせていただきました。

 

当事業年度に係る剰余金の配当は以下のとおりであります。

 













決議年月日



配当金の総額（千円）



１株当たり配当額（円）







2026年５月８日

取締役会



478,431



55





 


 

今後につきましても、将来の事業展開や経営成績及び財政状態等を勘案しつつ、継続的な配当を実施していく方針であります。"
145A,株式会社Ｌ　ｉｓ　Ｂ,2025-12-31,"３ 【配当政策】

当社は、株主に対する利益還元を経営上の重要課題の一つとして位置付けておりますが、現状において成長過程であり、財務体質の強化と事業拡大のための内部留保の充実等を図り、運転資金もしくは設備投資に充当することで更なる事業拡大をすることが株主に対する最大の利益還元につながると考えております。内部留保資金につきましては、収益力強化のための開発投資や優秀な人材確保、M&Aのための資金等に充当し、事業の継続的な発展のための資金として有効に活用していく考えです。

そのため、創業以来配当は実施しておらず、今後においても当面の間は内部留保の充実を図る方針であります。

今後の剰余金の配当につきましては、収益力の強化や事業基盤の整備を実施しつつ、内部留保の充実状況及び企業を取り巻く事業環境を勘案した上で、株主に対して安定的かつ継続的な利益還元を実施する方針であります。現時点においては、配当実施の可能性及びその実施時期については未定であります。

なお、剰余金の配当を行う場合、中間配当と期末配当の年２回の剰余金の配当を行うことを基本方針としております。また、当社は、剰余金の配当等会社法第459条第１項各号に定める事項については、法令に別段の定めがある場合を除き、取締役会の決議によって定めることができる旨を定款に定めております。"
146A,コロンビア・ワークス株式会社,2025-12-31,"３【配当政策】

当社では、株主に対する利益還元を経営の重要事項の一つと認識しております。配当につきましては、事業環境の変化や将来の事業展開に備えて財務基盤の充実を図りつつ、配当性向は15％～20％を目標として、今後の収益状況の見通しなどを総合的に勘案して決定すべきものと考えております。

当社の剰余金の配当については、期末配当の年１回を基本方針としておりますが、期末配当の基準日を12月31日、中間配当の基準日を６月30日としており、会社法第459条第１項各号に定める事項について、法令に別段の定めがある場合を除き、取締役会の決議によって定めることができる旨を定款に定めております。

当事業年度の期末配当金については、2026年２月12日開催の取締役会において、１株につき78.00円とすることを決定しました。

内部留保資金の使途につきましては、今後の事業展開への備えとしていくこととしております。

 

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。

決議年月日

配当金の総額

（百万円）

１株当たり配当額

（円）

2026年２月12日

601

78.00

取締役会決議"
147A,株式会社ソラコム,2026-03-31,"３ 【配当政策】

当社は、経営基盤の長期安定に向けた財務体質の強化及び事業の継続的な拡大発展を目指すため、内部留保の充実が重要であると考え、会社設立以来配当は実施しておりません。しかしながら、株主利益の最大化を重要な経営目標のひとつとして認識しており、今後の株主への剰余金の配当につきましては、業績の推移・財務状況、今後の事業・投資計画等を総合的に勘案し、内部留保とのバランスをとりながら検討していく方針です。

内部留保資金につきましては、経営基盤の長期安定に向けた財務体質の強化及び事業の継続的な拡大発展を実現させるための資金として、有効に活用していく所存であります。

当社の剰余金の配当は、会社法第459条第１項各号に定める事項については、法令に別段の定めのある場合を除き、取締役会の決議によって定めることができる旨を定款に定めております。

また、剰余金の配当基準日は、期末配当は４月30日、中間配当は９月30日、その他基準日を定めて剰余金の配当をすることができる旨を定款に定めております。"
148A,株式会社ハッチ・ワーク,2025-12-31,"３ 【配当政策】

当社は、株主の皆様への利益還元を経営の最重要課題の一つであると認識し、企業価値の継続的な拡大を図ってまいります。今後の株主の皆様への利益還元にあたりましては、経営成績及び財政状態を総合的に勘案し、財務体質の強化、事業拡大のための投資等にも十分留意しながら、安定的且つ継続的な利益還元を実施する方針でありますが、現時点において配当実施の可能性及びその時期については未定であります。なお、内部留保金につきましては、今後の変化の激しい経営環境の下で絶え間ない事業拡大を図ることを目的とし、中長期的な事業原資として利用してまいります。

当社は、剰余金の配当につき年１回の期末配当を基本方針としており、配当の決定機関は株主総会となっておりますが、上場後の期末配当、中間配当の年２回配当についても視野に入れ、会社法第454条第５項に規定する中間配当を取締役会の決議によって行うことができる旨を定款に定めております。

当事業年度においては、事業拡大に資金が必要であったため、無配といたしました。"
1491,中外鉱業株式会社,2026-03-31,"３【配当政策】

当社は、利益配分につきましては、将来の事業展開と経営体質の強化のために必要な内部留保を確保しつつ、安定した配当を継続して実施していくことを基本としております。

当社は、中間配当と期末配当の年２回の剰余金の配当を行うことを基本方針としております。

これらの剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会であります。

当事業年度の配当につきましては、上記方針に基づき期末配当は１株当たり34円00銭を、2026年６月26日開催予定の定時株主総会で決議して実施する予定であります。

内部留保資金につきましては、今後予想される経営環境の変化に対応すべく、今まで以上にコスト競争力を高め、市場ニーズに応える技術・製造開発体制を強化し、さらには、グローバル戦略の展開を図るために有効投資してまいりたいと考えております。

当社は、「取締役会の決議により、毎年９月30日を基準日として、中間配当を行うことができる。」旨を定款に定めております。

なお、基準日が当事業年度に属する剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

１株当たり配当額

2026年６月26日

488,568千円

34.00円

定時株主総会（予定）

※当社は、2025年10月１日を効力発生日として株式併合（普通株式20株につき１株）を実施しており、１株当たり配当額は当該株式併合後の金額を記載しております。"
149A,株式会社シンカ,2025-12-31,"３【配当政策】

当社は、成長に応じた株主の皆様への安定的な利益還元を経営上の最重要課題の一つとして位置付けており、将来の事業展開や経営基盤の強化に係わる内部留保を確保しつつ、財政状態及び経営成績並びに経営全般を総合的に判断し、利益配当を行っていく方針であります。しかしながら、当社は現時点では成長過程にあり、当面は経営基盤の強化のために内部留保の充実を図り、財務体質の強化と事業拡大のための投資に充当することで、企業価値を向上させることが株主に対する利益還元になるものと考えており、配当を行っておりません。

剰余金の配当を行う場合は、年１回の期末配当を基本方針としており、その他年１回中間配当を行うことができる旨及び上記の他に基準日を設けて剰余金の配当を行うことができる旨を定款で定めております。また、当社は、会社法第459条第１項の規定に基づき、剰余金の配当にかかる決定機関を取締役会とする旨を定款で定めております。"
150A,株式会社ＪＳＨ,2026-03-31,"３ 【配当政策】

当社は、規律ある事業投資と環境変化に備えた経営基盤の構築、株主の皆様に対しての利益還元を経営の重要項目と位置付けておりますが、現在は成長過程にあると考えており、内部留保資金の充実を図り、訪問看護ステーションやコルディアーレ農園の新規開設や人員の拡充といった成長投資のための原資とすることで企業価値の向上を目指すことが株主の皆様に対する最大の利益還元に繋がると考えております。

そのため、当面の間は、事業拠点の拡大、優秀な人材の確保等のための必要資金として内部留保の充実を図る方針であります。

利益配分につきましては、業績や経営環境、内部留保の状況を見極めた上で、配当の実施を検討してまいります。

配当を行う場合には、年１回の期末配当を行うことを基本方針としており、決定機関は株主総会であります。また、当社は取締役会の決議によって、毎年９月30日の最終の株主名簿に記載された株主又は登録株式質権者に対し、会社法第454条第５項に定める中間配当をすることができる旨を定款に定めております。"
1514,住石ホールディングス株式会社,2026-03-31,"３【配当政策】

配当額については、株主の皆様に配当性向40％以上を目安に安定的な配当を継続して行うことを基本としつつ、当社を取り巻く経営環境や収益状況に対応して将来の事業展開に備えるため内部留保の充実などを勘案の上、配当額を決定する方針を採っております。

なお、会社法第459条第１項各号に定める事項については、法令に別段の定めのある場合を除き、株主総会の決議によらず取締役会の決議により定める事としております。

当社の剰余金の配当は期末配当の年１回を基本的な方針としております。

なお、当事業年度に係る剰余金の配当については、上記方針に基づき以下のとおり実施しました。

決議年月日

配当金の総額
（百万円）

１株当たり配当額
（円）

2026年５月15日

取締役会決議

1,196

20"
1515,日鉄鉱業株式会社,2026-03-31,"３ 【配当政策】

配当につきましては、自己資本の充実と株主還元の最適なバランスを図りながら、長期安定的な配当を実施するという基本方針のもと、海外での鉱山開発投資の実行フェーズにおける財務の安全性と株主の皆様への利益還元のバランスを踏まえて、連結配当性向40％を目途に配当を実施する方針としております。そのうえで、銅などの商品市況や為替の変動といった当社グループを取り巻く事業環境の不確実性を勘案し、単年度の業績による影響を受けないよう、配当下限値を１株当たり34円とし、連結配当性向と配当下限値のいずれか高い方を採用することで、長期安定的な配当を明確化しております。なお、剰余金の配当は、中間配当及び期末配当の年２回を基本的な方針としております。

また、当社は、会社法第459条第１項の規定に基づき、取締役会の決議によって剰余金の配当を行うことができる旨を定款に定めておりますが、中間配当は取締役会の決議、期末配当は原則として株主総会の決議にて決定いたします。

上記方針に基づき、当事業年度の剰余金の配当につきましては、中間配当を１株当たり117円とし、期末配当は2026年６月26日開催予定の定時株主総会にて、１株当たり48円として決議する予定であります。

なお、当社は2025年10月１日を効力発生日として、普通株式１株を５株とする株式分割を実施したため、中間配当は株式分割前の配当額、期末配当は株式分割後の配当額となります。

内部留保につきましては、中長期的な視野に立った設備投資や競争力強化のための合理化投資などに充当していくこととしております。

 

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額（百万円）



１株当たり配当額（円）







2025年11月７日

取締役会決議



1,843



117







2026年６月26日

定時株主総会決議（予定）



3,780



48"
1518,三井松島ホールディングス株式会社,2026-03-31,"３ 【配当政策】

当社は、株主に対する利益の還元を経営上重要な施策の一つとして位置づけており、将来における安定的な企業成長と経営環境の変化に対応するために必要な内部留保を確保しつつ、経営成績に応じた株主への利益還元を継続的に行うことを基本方針としております。当社の剰余金の配当は、取締役会において決定いたします。

当事業年度の剰余金の配当につきましては、上記方針及び業績動向等を総合的に勘案した結果、１株当たり中間配当23円、期末配当41円とし、年間での配当64円といたしました。

 

（注）基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額（百万円）



１株当たり配当額（円）







2025年11月7日

取締役会決議



920



23







2026年５月13日

取締役会決議



1,610



41





 


※当社は、2025年10月１日を効力発生日として普通株式１株につき５株の割合で株式分割を実施しております。上記の１株当たり配当金は株式分割実施後の株式数を基準とした金額となります。"
151A,株式会社ダイブ,2025-06-30,"３ 【配当政策】

当社は、現在成長過程にあると認識しており、事業拡大や組織体制の強化への投資のため、内部留保の充実が重要であると考えており、会社設立以来配当を実施しておりませんが、株主への利益還元を重要な課題として認識しております。今後、事業基盤の整備等を進め、株主に対して継続的且つ安定的な配当を行うことを検討していく方針でありますが、現時点において配当の実施時期等については未定であります。

なお、剰余金の配当を行う場合、年１回の期末配当を基本方針としており、期末配当の決定機関は株主総会となっております。また、当社は会社法第454条第５項に規定する中間配当を取締役会の決議によって毎年12月31日を基準日として行うことができる旨を定款に定めております。"
153A,株式会社カウリス,2025-12-31,"３【配当政策】

当社は、株主への利益還元を重要な経営課題の一つと位置づけ、株主の皆様に長期的かつ安定して当社株式を保有していただくため、安定した配当を継続的に行っていきたいと考えております。

そのうえで、当社は、株主資本に対して一定の水準で還元を行う指標としてDOE（株主資本配当率）を採用することで、より安定的な配当の継続を図るとともに、資本効率を意識した配当方針としており、DOE1.5％以上を目安としてまいります。なお、剰余金の配当等の決定機関は取締役会としております。

この基本方針に基づき、当期の剰余金の配当につきまして、１株当たり4.8円とさせていただきました。

内部留保資金の使途については、今後の事業展開への備えとしております。

なお、剰余金の配当を行う場合、年１回の期末配当を基本方針としており、その決定機関は取締役会であります。また、当社は毎年６月末日を基準日として、取締役会の決議によって、中間配当をできる旨を定款に定めております。

 

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2026年２月13日

31,334

4.8

取締役会決議"
155A,株式会社情報戦略テクノロジー,2025-12-31,"３【配当政策】

当社は、財務基盤の強化と成長過程にある事業の持続的な拡充を目指していくために、まずは内部留保資金の充実と事業推進に必要な投資活動を積極的に行っていくことが重要と考え、創業以来配当を実施しておりません。今後も０次システム開発の推進による売上高拡大が継続することが見込まれることから、当面の間、事業投資を最優先し中長期的な成長に向けた収益基盤を構築する必要があると認識しています。

しかしながら、株主への利益還元を重要な経営課題として認識しており、今後の経営成績及び財政状態を鑑みつつ、事業・投資計画、事業環境等を総合的に勘案し、内部留保とのバランスをとりつつ配当について検討していく方針であります。内部留保資金につきましては、企業体質の強化及び将来の事業展開のための財源として有効に活用していく方針であります。

当社の剰余金の配当は、期末配当の基準日を毎年12月31日、中間配当の基準日を毎年６月30日としており、配当の決定機関は、期末配当につきましては株主総会、中間配当につきましては取締役会であります。なお、当社は中間配当を行うことができる旨を定款で定めております。"
156A,マテリアルグループ株式会社,2025-08-31,"３【配当政策】

(1）配当の基本的な方針

当社は、株主の皆様に対する利益還元を第一として、配当原資確保のための収益力を強化し、継続的かつ安定的な配当を行うことを基本方針としております。具体的には、連結配当性向33％を目安に累進配当（原則として減配せず、配当の維持もしくは増配を行う配当政策）を実施していきたいと考えております。

当社グループは、資本効率の高い事業運営を引き続き推進することにより、高い株主還元と成長投資の両立が可能であると考えております。内部留保資金については、今後の企業としての成長と財務基盤の安定のバランスを鑑みながら、主として人材への投資、M&A等に充当してまいります。

当事業年度の期末配当につきましては、上記方針のもと、業績及び経営環境等を総合的に勘案した結果、１株当たり26.00円といたしました。

当社は、期末配当の基準日を毎年８月31日、中間配当の基準日を毎年２月末日としております。また、定款において、これら以外にも基準日を定めて剰余金の配当を実施することができる旨を定めております。

なお、当社は、「会社法第459条第１項各号に定める事項については、法令に別段の定めのある場合を除き、取締役会の決議によって定めることができる。」旨を定款に定めております。

 

当事業年度に係る剰余金の配当は以下のとおりです。

 

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2025年11月27日

250,436

26.00

定時株主総会決議

（予定）"
157A,グリーンモンスター株式会社,2025-06-30,"３ 【配当政策】

当社は、株主の皆様への利益還元を重要な経営課題として認識しており、配当原資確保のため収益力を強化し、継続的かつ安定的な配当を行うことを基本方針としております。当社は、体験型投資学習アプリで、配当や株主優待の学習コンテンツを提供しており、『おかねの学び』を提供する会社だからこそ、自社を事例とした学習コンテンツの提供機会を確保すると同時に、株主の皆様との中長期的な関係構築に向けた施策の一つとして、昨年度に引き続き剰余金の配当を行います。剰余金の配当は年１回の期末配当を行うことを基本方針とし、当事業年度につきましては、１株当たり10.0円の期末配当の実施となります。

また、中間配当についても行なうことができる旨を定款に定めております。これら剰余金の配当の決定機関は取締役会としております。

なお、当事業年度に係る剰余金の配当は以下のとおりであります。













決議年月日



配当金の総額

（千円）



１株当たり配当額

（円）







2025年８月14日



31,328



10







取締役会決議"
1605,株式会社ＩＮＰＥＸ,2025-12-31,"３【配当政策】

当社は、2025年２月13日公表の「2025-2027 中期経営計画」でお示しした株主還元方針において、2025年度から2027年度の中期経営計画期間中は、１株当たり年間90円を起点とする累進配当による安定的な還元に加え、事業環境や財務・経営状況を踏まえつつ機動的な自己株式取得も行うことで総還元性向50％以上を目指し、業績の成長にあわせて株主還元を強化していくことを基本方針としております。

上記基本方針を踏まえ、当事業年度の剰余金の配当につきまして、普通株式の期末配当金は１株当たり50円とすることとし、2026年３月27日開催の定時株主総会で決議される予定です。この結果、中間配当金の１株当たり50円とあわせると、年間配当金は１株当たり100円となる予定です。また、甲種類株式（非上場）の期末配当金は１株当たり20,000円とすることとしており、同総会で決議される予定です。中間配当金の１株当たり20,000円とあわせ、年間配当金は１株当たり40,000円となる予定です。

なお、2013年10月１日を効力発生日として普通株式１株につき400株の割合で株式分割を行っておりますが、甲種類株式につきましては、株式分割を実施致しておりません。これに伴い、甲種類株式の配当については、当該株式分割前の普通株式と同等になるよう、定款で定めております。

また、当社は会社法第454条第５項に規定する中間配当を行うことができる旨を定款に定めております。毎事業年度における剰余金の配当の回数は、中間配当及び期末配当の年２回を基本的な方針としております。配当の決定機関は、中間配当は取締役会、期末配当は株主総会であります。

 

なお、第20期の剰余金の配当は以下のとおりであります。

決議年月日

株式の種類

配当金の総額

（百万円）

１株当たり配当額

（円）

2025年８月８日

取締役会決議

普通株式

59,921

（注）１

50

甲種類株式

0

20,000

2026年３月27日

定時株主総会決議（予定）

普通株式

58,320

（注）２

50

甲種類株式

0

20,000

（注）１．配当金の総額には、役員報酬BIP信託が保有する株式に対する配当金51百万円が含まれます。

２．配当金の総額には、役員報酬BIP信託が保有する株式に対する配当金50百万円が含まれます。"
160A,株式会社アズパートナーズ,2026-03-31,"３【配当政策】

当社は、株主に対する利益還元を重要な経営課題と認識しており、企業体質の強化と将来の事業展開のために内部留保を確保しつつ、安定的かつ継続的に業績の成長に見合った成果を配当することを基本方針としております。

当社は、期末配当の年１回の剰余金の配当を行うことを基本方針としております。

内部留保資金につきましては、当社の中長期経営計画に従って、経営基盤の強化、事業拡大のための設備投資及び人材の確保・育成等に充当していく予定です。

上記方針に基づき、剰余金の処分につきましては、当事業年度業績並びに今後の事業展開を勘案し、当社普通株式１株につき金70.00円となる予定であります。

当事業年度に係る剰余金の配当は以下のとおりとなる予定であります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2026年６月25日

251,118

70.00

定時株主総会決議（予定）

 

なお、当社は、会社法第454条第５項の規定に基づき「取締役会の決議により、毎年９月30日を基準として、中間配当を行うことができる。」旨を定款に定めております。

配当の決定機関は、中間配当は取締役会、期末配当は株主総会であります。"
1662,石油資源開発株式会社,2026-03-31,"３【配当政策】

当社は、内部留保を活用した積極的な投資と事業基盤の拡充を通じて企業価値の持続的向上を図るとともに、その成果の株主への還元として、連結配当性向30％を目安に各期の業績に応じた配当を行うことを基本方針としつつ、事業環境の変化等により一時的に業績が悪化した場合でも、１株当たり年間40円配当の維持に努めることとしております。（ただし、特別損益等の特殊要因により親会社株主に帰属する当期純利益が大きく変動する事業年度については、その影響を考慮し配当額を決定します。）

上記方針に基づき、当事業年度の配当金につきましては、１株当たり年65円の配当（うち中間配当20円）を実施することを予定しております。

なお、当社は、会社法第454条第５項の規定により、取締役会の決議によって、毎年９月30日を基準日として中間配当をすることができる旨を定款に定めております。毎事業年度における剰余金の配当の回数は、中間配当と期末配当の年２回とすることを基本方針とし、中間配当に関しては取締役会、期末配当に関しては株主総会で機関決定を行っております。

当事業年度における剰余金の配当は、以下のとおりであります。

決議年月日

配当金の総額（百万円）

１株当たり配当額（円）

2025年11月12日

5,135

20

取締役会決議

2026年６月23日

11,554

45

定時株主総会決議（予定）"
1663,Ｋ＆Ｏエナジーグループ株式会社,2025-12-31,"３ 【配当政策】

当社は、グループ会社を通じて、貴重な国産資源を長期的かつ安定的に生産・供給するコア事業への投資と、新たな事業領域における成長を目指した未来事業への投資のバランスを取りながら、中長期の連結業績及びフリー・キャッシュフロー等を総合的に勘案し、継続的な安定配当による株主還元の充実を目指すことを基本方針としております。この考え方に基づき、中期経営計画(中計2027)では「累進配当」を導入するとともに、中計2027の最終年度の株主還元指標を「株主資本配当率(DOE)1.5％」としております。

この方針のもと、毎事業年度における配当の回数は、中間配当及び期末配当の年２回を原則としており、配当の決定機関は、中間配当は会社法第454条第５項に基づく定款の定めにより取締役会、期末配当は株主総会であります。

当事業年度の期末配当につきましては、業績も勘案のうえ、安定的な配当を継続しながら、１株当たりの配当の増額を行うこととし、１株当たり普通配当30円としております。この結果、中間配当金24円と合わせた年間配当金は、１株当たり54円となりました。

なお、内部留保資金の使途につきましては、天然ガス・ヨウ素の開発・生産から供給に至る設備の整備・拡充等に投資を行うとともに、将来の事業展開に向けて活用する所存であります。

 

(注) 基準日が当事業年度に属する剰余金の配当は、次のとおりであります。













決議年月日



配当金の総額（百万円）



１株当たり配当額（円）







2025年８月12日

取締役会決議



640



24







2026年３月26日

定時株主総会決議



800



30"
166A,株式会社タスキホールディングス,2025-09-30,"３【配当政策】

当社は、株主の皆様に対する適正かつ安定的な利益還元を経営上の重要課題として位置付けており、業績と経営環境を勘案のうえ、企業体質の強化や将来の事業展開に必要な内部留保を確保しつつ、累進配当を実施することを株主還元方針としております。内部留保金については、事業基盤を支えるシステム開発投資や景気変動の影響を受けにくい企業体質の確立に向けた関連事業投資に活用する予定であり、安定的な事業基盤の確立と株主価値の増大に努めてまいります。なお、剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会であり、当社は会社法第454条第５項に規定する中間配当を取締役会の決議によって行うことができる旨を定款に定めております。

当連結会計年度の期末配当につきましては、上記方針に基づき１株当たり36円といたしました。当社は当期において中間配当は実施しておらず、当連結会計年度に係る剰余金の配当は以下のとおりとなります。

決議年月日

配当金の総額（千円）

１株当たり配当額（円）

2025年12月18日

2,218,393

36

定時株主総会決議"
167A,リョーサン菱洋ホールディングス株式会社,2026-03-31,"３ 【配当政策】

当社は、株主の皆様への還元について、「中長期的な株価の維持・向上」と「安定的な配当」を通じて実施することを基本方針としており、配当につきましては、財政状態や配当性向、配当利回り等を総合的に勘案した上で決定いたします。

なお、当社の剰余金の配当は、中間及び期末の年２回の実施を基本的な方針としており、これら剰余金の配当等の決定機関は、中間及び期末配当ともに取締役会で決議できる旨を定款に定めておりますが、当期の期末配当につきましては、株主総会を決定機関としております。

本方針に基づき、当期の配当は、期末配当金を１株につき70円、中間配当金と合わせた年間配当金を１株につき140円とさせていただく予定です。

 













決議年月日



配当金の総額
(百万円)



１株当たり配当額
(円)







2025年11月12日

取締役会決議



2,807



70







2026年６月25日

定時株主総会決議（予定）



2,807



70"
168A,株式会社イタミアート,2026-01-31,"３【配当政策】

当社は株主に対する利益還元を重要な経営課題として認識しており、今後の業容拡大と経営基盤強化のための内部留保の充実を図りつつ、株主への利益配分を検討していく方針であります。

剰余金の配当を行う場合は、期末配当にて年１回の剰余金の配当を行うことを基本方針としており、決定機関は取締役会であります。また、別途取締役会決議にて会社法第454条第５項に規定する中間配当を行うことができる旨を定款に定めております。

配当政策は、今後の成長に向けた事業資金を確保するため内部留保の充実に重点を置きつつ、株主利益の最大化と内部留保のバランスを図りながら、業績動向及び財政状態等を総合的に判断した上で、配当性向15～20％を目安に配当を実施していく方針であります。

当事業年度の配当につきましては、上記方針の基づき当期は１株当たり20円の配当を実施することを決定しました。この結果、当事業年度の配当性向は19.1％となりました。

内部留保資金につきましては、財務体質の強化を図るとともに、今後予想される経営環境の変化に対応すべく、将来の事業展開のための財源として利用していく予定であります。

なお、当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2026年４月24日

定時株主総会

29,400

20"
1711,株式会社ＳＤＳホールディングス,2026-03-31,"３【配当政策】

当社は、株主をはじめとするステークホルダーに対する利益還元を経営の重要な課題のひとつとして位置づけております。主たる利益還元策のひとつである配当につきましては、経営基盤の強化を図るため、内部留保を勘案しつつ会社業績の動向に応じて株主への利益還元に取り組んでいくとともに、配当性向等の指標を参考としつつ実施していく方針であります。

また、当社の剰余金の配当は期末配当の年１回を基本的な方針としておりますが、会社業績に応じた株主への利益還元を柔軟に実施するため、当社は取締役会の決議によって、毎年９月30日の最終の株主名簿に記載又は記録された株主又は登録株式質権者に対し、中間配当をすることができる旨を定款に定めております。剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会であります。

なお、当事業年度につきましては、誠に遺憾ながら配当を無配とさせて頂く結果となっております。"
1716,第一カッター興業株式会社,2025-06-30,"３【配当政策】

当社は、株主の皆様への利益還元を最重要課題の一つと考えており、財務の健全性を維持しつつ、毎期の業績を勘案し、競争力の維持・強化に必要な技術開発、設備投資及び人材投資等を推進するための内部留保を確保するとともに、長期的かつ安定的な配当を維持していくことを基本方針としております。配当につきましては、配当性向30%以上を目安に実施していくこととしております。

当社の剰余金の配当は、期末配当の年１回を基本的な方針としており、配当の決定機関は、株主総会であります。なお、当社は、取締役会決議により中間配当を行うことができる旨を定款で定めております。

2025年６月期の配当金につきましては、上記基本方針に基づき、１株につき普通配当40円といたしました。この結果、配当性向（連結）は34.0％となりました。内部留保資金につきましては、技術開発、システム投資、人材育成等へ積極的に投入していく所存であります。

当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額
（千円）



１株当たり配当額
（円）







2025年９月26日

定時株主総会決議



459,670



40"
1717,明豊ファシリティワークス株式会社,2026-03-31,"３ 【配当政策】

当社は、会社法第459条第１項の規定に基づき、取締役会の決議をもって剰余金の配当を行う事ができる旨を定款に定めております。また、会社法第454条第５項に規定する中間配当を行うことができる旨を定款で定めておりますが、当事業年度は中間配当について取締役会決議を行っておりません。
当事業年度（2026年３月期）の配当金につきましては、当該方針に基づき検討した結果、１株当たり普通配当44.00円（配当性向55.1％）の期末配当（年間）を実施いたしました。
翌事業年度（2027年３月期）の配当金につきましては、当社事業の発展を支援してくださる株主の皆様に適正な配当を行う方針のもと、１株44.00円（配当性向55.4％）の期末配当（年間）を予定しております。

なお、2026年５月12日開催の取締役会において、以下の通り「配当方針の変更」を決議いたしました。

当社は、将来の事業発展と経営体質強化のために必要な内部留保を確保しつつ、株主の皆様への安定的かつ継続的な利益還元を経営として重視してまいります。

具体的には、赤字となった場合を除き２事業年度（2026年度から2027年度）の１株当たり年間配当金の下限を44円00銭以上とし、かつ、配当性向 55％程度を目安として各期の業績の伸びに応じた利益配当を行うことを基本方針といたします。

当事業年度に係る剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額
(千円)



１株当たり配当額
(円)







2026年５月21日

取締役会決議



535,821



44.00"
1718,美樹工業株式会社,2025-12-31,"３【配当政策】

当社は、剰余金の配当に関しまして、株主還元を経営上の重要課題の一つと考え、連結配当性向30％以上を基準に、安定的な配当の実施及び将来の事業拡大のための内部留保などを勘案して決定することを基本方針としております。また、内部留保につきましては、積極的な投資と事業基盤の拡充を通じて企業価値の持続的向上を図り、その成果を株主の皆様へ還元できるよう努めております。

当社は、中間配当と期末配当の年２回の剰余金の配当を行うことを基本方針とし、これらの剰余金の配当の決定機関は、期末配当は株主総会、中間配当は取締役会であります。

当事業年度の剰余金の配当につきましては、上記方針に基づき当期は１株当たり150円の中間配当（普通配当）を実施しました。2025年12月31日を基準日とする期末配当は、普通配当１株当たり150円、特別配当50円、合計200円とすることを2026年３月26日開催予定の当社第64期定時株主総会で決議する予定であります。この結果、当事業年度の配当性向は30.51％となる予定であります。

内部留保資金につきましては、業界環境の厳しい中、財務体質の強化に加え、業績向上及び将来の成長に不可欠な設備投資、投融資等の資金需要に備える所存であります。

なお、当社は、「取締役会の決議により、毎年６月30日を基準日として、中間配当を行うことができる」旨を定款に定めております。

なお、当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2025年７月28日

163,939

150

取締役会決議

2026年３月26日

218,573

200

定時株主総会決議（予定）"
